sampleID	community	div	div.rda	level	MVP1.4	Q2.87	CHA0	F113	Phl1c2	Pf.5	M1.96	Q8R1.96	breadth	connectance	nestedness	FD	dissim	siderophore(SU)	IAA	p.solu	Gas	pd.pseu	toxin1	toxin2	inhib.rs	inhib.fus	inhib.rhizo	inhib.py	DAPG ppm	phlD20	phlD_ck	16S	ck16s	di_20	NH4	NO3	WSOC	WSON	N	C	CNRatio	DNAc	promote	dryweight	K.ppm	P.ppm	Fe.ppm	Plant.N	bce15	bce25	bce35	RDA1	RDA2	PC1	PC2	PC3	PC4	pae	otu.richness	otu.shannon	PD	SR	otu.alpha	otu.evenness	value
s29	29	2	20	1	0	0	0	0	1	0	1	0	68.75	0.635416667	7.838787292	0.151390426	0.151515152	0.489833641	9.281675572	634.4	326.726236	0.0742	28.27047011	25.37083731	45.01784605	6	5	11	4558.82	7.545776591	6.357337894	10.51	11.02	0.0625	1.6293	28.11037	142.9211731	60.83670425	0.246902	2.06	8.343391305	20.2	42.44444445	1.92	27.9393	3.8007	0.18210225	40084.96674	87.62886598	89.91596639	75.91973244	-2.52838	-0.686301	-1.51091	0.64105	-0.96781	3.571961	0.526695956	2956	5.511506764	193.85628	2848	823.9652487	0.689663157	0.728195347
s30	30	2	20	1	0	0	0	0	1	1	0	0	75	0.625	12.11004387	0.345374363	0.333333333	0.659272951	12.84054874	687.8	336.046683	0.2704	62.45215743	59.47804448	59.47804448	11.33	8.5	12.25	5882.35	7.517212136	6.357337894	10.54	11.02	0.1875	1.901	30.291	100.911	58.99031	0.245521	2.25	9.164185548	20.6	23.07407408	1.66	34.32963	3.51975	0.20562775	37875.59426	62.88659793	59.66386555	59.86622074	-1.80067	-1.435973	-3.23636	-3.14174	0.03361	1.130078	0.509963212	2566	5.63154362	181.92593	2510	678.8039784	0.717384629	0.628942696
s31	31	2	20	1	0	0	0	0	0	1	0	1	70.83	0.604166667	8.697687947	0.249670097	0.294117647	0.685767098	10.5482698	483.4	335.7413231	0.2508	61.51002651	58.78548742	68.60899179	18	9	15.75	4185.29	7.745948399	6.357337894	10.38	11.02	0	1.882	25.359	166.0926819	42.5104866	0.25678	2.35	9.1518031	19.4	21.59259259	1.64	35.4077	3.12095125	0.20613975	36714.06425	100	89.91596639	87.95986622	-3.10395	-0.461995	-1.88959	2.24885	-1.59682	3.307017	0.592415033	2721	5.832206687	175.80299	2633	737.1190945	0.737436787	0.62485822
s32	32	2	20	1	0	0	0	0	0	0	1	1	64.58	0.614583333	5.423150035	0.101835024	0.096774194	0.464571781	9.69895843	232.5	357.577028	0.0546	38.78111815	41.55014901	54.91011495	9	6.25	13.25	1155.88	7.524087514	6.357337894	10.73	11.02	0	1.421	22.229	91.98141479	47.77000809	0.23974	2	8.342370902	43.5	19.40740741	1.61	35.0495155	3.8657	0.2375315	36294.6049	100	100	85.95317726	-0.7421	0.193634	-0.48516	0.54229	2.14892	-3.914443	0.604158468	3265	6.442117338	216.09777	3149	943.454771	0.796206323	0.648293425
s33	33	4	10	2	1	1	0	1	1	0	0	0	68.75	0.59375	17.50663661	0.285776211	0.151057502	0.547514936	9.62714518	538	335.563234	0.1975	37.46115348	64.11768559	73.94118996	5.83	5.75	9	9705.88	7.691658749	6.357337894	10.75	11.02	0	1.099	14.834	131.956955	37.55381775	0.269043	2.64	9.812557844	35	33.07407408	1.79	35.91824	4.071	0.215857025	37148.02301	100	96.63865546	93.97993311	1.55161	-0.895308	2.44478	2.14008	1.70035	0.758377	0.595437136	3895	6.926245046	237.14753	3773	1206.482797	0.837772943	0.74047588
s34	34	4	10	2	0	1	0	1	0	1	1	0	72.92	0.598958333	16.88776482	0.434413789	0.218293694	0.738755391	11.14958608	620.4	332.2083228	0.3596	66.62795644	61.19224599	71.01575036	12	9.5	13	5494.12	7.596187131	6.357337894	10.71	11.02	0	1.571	6.397	116.3334045	41.85197449	0.260986	2.23	8.544519629	31.9	30.25925926	1.758	37.09335	4.254925	0.20822975	42421.46528	100	79.83193277	85.95317726	1.47588	-0.957604	1.74238	-1.23784	0.59385	3.432171	0.530936288	3305	6.111711906	208.76309	3240	958.2333102	0.754235133	0.894664823
s35	35	4	10	2	1	0	0	1	1	1	0	0	77.08	0.614583333	22.98136808	0.436084829	0.225782921	0.645717807	12.62702401	675	334.7132632	0.3088	66.17161177	61.57536266	66.48711485	12	11	14	5194.12	7.786480635	6.357337894	10.75	11.02	0.25	1.607	21.154	106.2724533	72.85292053	0.250009	2.07	8.279701931	31.7	36.40740741	1.84	35.514645	4.0843725	0.20843375	40648.44358	50.51546391	52.94117647	47.82608696	-0.38378	-2.096315	1.22364	-2.14462	1.65952	4.154783	0.539037895	3141	6.205809288	198.14602	3058	894.155628	0.770688125	0.767305306
s36	36	4	10	2	0	1	0	0	1	0	1	1	68.75	0.598958333	15.9423643	0.255627133	0.133931481	0.764448552	13.27939472	621.5	360.54518	0.2107	26.46471918	48.60342515	58.42692951	8.83	9.25	9.75	1588.24	7.977875775	6.357337894	10.8	11.02	0	1.467	13.649	90.04971313	43.05303955	0.237654	2.24	9.425467276	34.3	35.66666667	1.83	34.2540325	4.2454975	0.1851365	34341.97462	100	89.91596639	83.9464883	0.80901	-2.956199	1.95327	-5.12904	-2.16656	-0.900076	0.575236086	3408	6.462087586	221.21814	3314	1002.850702	0.79446548	0.645864487
s37	37	4	10	2	1	1	1	1	0	0	0	0	68.75	0.572916667	16.88778032	0.413211169	0.204676352	0.654959951	13.17663475	665.3	347.683188	0.3542	66.6524911	61.16179313	61.16179313	9	7.5	9.5	3117.65	8.028347845	6.357337894	10.67	11.02	0	1.431	14.88	140.8731995	49.95861053	0.259009	2.33	8.9958264	19.6	30.40740741	1.759	29.7633925	4.249725	0.214445375	33792.46986	100	86.55462185	81.93979933	0.05654	-1.551873	-0.31617	1.08051	-3.17519	-2.79008	0.576739685	3234	6.555514663	209.07128	3136	931.6911689	0.811177988	0.573561587
s38	38	4	10	2	0	1	0	0	0	1	1	1	72.92	0.598958333	16.59471204	0.389363644	0.197297316	0.687615527	13.08950134	581.4	336.6268218	0.3642	67.87922406	61.05373458	70.87723895	9	10	16.25	4720.59	7.257300975	6.357337894	10.73	11.02	0	1.678	13.123	120.0092	50.0013	0.2610998	2.2	8.425896918	23.6	30.51851852	1.759	33.461455	4.05818	0.153086	38708.94945	100	96.63865546	93.97993311	2.28707	1.308757	-1.1399	2.88021	0.14844	-1.134836	0.588859396	3105	6.591087056	200.46512	3018	880.4867097	0.819708545	0.756806695
